bar,bartender,day,start,end,date
Absent Snow,Cruz Brelsford,Friday,09:00,00:00,2018-01-12
Absent Snow,Cruz Brelsford,Saturday,09:00,00:00,2018-01-13
Absent Snow,Cruz Brelsford,Sunday,09:00,00:00,2018-01-14
Absent Snow,Cruz Brelsford,Monday,09:00,00:00,2018-01-15
Absent Snow,Cruz Brelsford,Tuesday,09:00,00:00,2018-01-16
Absent Snow,Cruz Brelsford,Wednesday,09:00,00:00,2018-01-17
Absent Snow,Cruz Brelsford,Thursday,09:00,00:00,2018-01-18
Absent Snow,Cruz Brelsford,Friday,09:00,00:00,2018-01-19
Absent Snow,Cruz Brelsford,Saturday,09:00,00:00,2018-01-20
Absent Snow,Cruz Brelsford,Sunday,09:00,00:00,2018-01-21
Absent Snow,Cruz Brelsford,Monday,09:00,00:00,2018-01-22
Absent Snow,Donald Klapper,Wednesday,09:00,00:00,2018-01-01
Absent Snow,Donald Klapper,Tuesday,09:00,00:00,2018-01-09
Absent Snow,Donald Klapper,Thursday,09:00,00:00,2018-01-11
Absent Snow,Donald Klapper,Friday,09:00,00:00,2018-01-12
Absent Snow,Donald Klapper,Sunday,09:00,00:00,2018-01-14
Absent Snow,Donald Klapper,Monday,09:00,00:00,2018-01-15
Absent Snow,Donald Klapper,Tuesday,09:00,00:00,2018-01-16
Absent Snow,Donald Klapper,Wednesday,09:00,00:00,2018-01-17
Absent Snow,Donald Klapper,Thursday,09:00,00:00,2018-01-18
Absent Snow,Donald Klapper,Friday,09:00,00:00,2018-01-19
Absent Snow,Donald Klapper,Saturday,09:00,00:00,2018-01-20
Absent Snow,Donald Klapper,Sunday,09:00,00:00,2018-01-21
Absent Snow,Donald Klapper,Monday,08:00,00:00,2018-01-22
Admiral Benbow Inn,Henry Kujawski,Wednesday,08:00,00:00,2018-01-01
Admiral Benbow Inn,Henry Kujawski,Tuesday,08:00,00:00,2018-01-09
Admiral Benbow Inn,Henry Kujawski,Thursday,08:00,00:00,2018-01-11
Admiral Benbow Inn,Henry Kujawski,Friday,08:00,00:00,2018-01-12
Admiral Benbow Inn,Henry Kujawski,Saturday,08:00,00:00,2018-01-13
Admiral Benbow Inn,Henry Kujawski,Sunday,08:00,00:00,2018-01-14
Admiral Benbow Inn,Henry Kujawski,Monday,08:00,00:00,2018-01-15
Admiral Benbow Inn,Henry Kujawski,Tuesday,08:00,00:00,2018-01-16
Admiral Benbow Inn,Henry Kujawski,Wednesday,08:00,00:00,2018-01-17
Admiral Benbow Inn,Henry Kujawski,Thursday,08:00,00:00,2018-01-18
Admiral Benbow Inn,Henry Kujawski,Friday,08:00,00:00,2018-01-19
Admiral Benbow Inn,Henry Kujawski,Saturday,08:00,00:00,2018-01-20
Admiral Benbow Inn,Henry Kujawski,Sunday,08:00,00:00,2018-01-21
Admiral Benbow Inn,Henry Kujawski,Monday,08:00,00:00,2018-01-22
Admiral Benbow Inn,James Rogers,Wednesday,08:00,00:00,2018-01-01
Admiral Benbow Inn,James Rogers,Tuesday,08:00,00:00,2018-01-09
Admiral Benbow Inn,James Rogers,Thursday,08:00,00:00,2018-01-11
Admiral Benbow Inn,James Rogers,Saturday,08:00,00:00,2018-01-13
Admiral Benbow Inn,James Rogers,Sunday,08:00,00:00,2018-01-14
Admiral Benbow Inn,James Rogers,Monday,08:00,00:00,2018-01-15
Admiral Benbow Inn,James Rogers,Tuesday,08:00,00:00,2018-01-16
Admiral Benbow Inn,James Rogers,Wednesday,08:00,00:00,2018-01-17
Admiral Benbow Inn,James Rogers,Thursday,08:00,00:00,2018-01-18
Admiral Benbow Inn,James Rogers,Friday,08:00,00:00,2018-01-19
Admiral Benbow Inn,James Rogers,Saturday,08:00,00:00,2018-01-20
Admiral Benbow Inn,James Rogers,Sunday,08:00,00:00,2018-01-21
Admiral Benbow Inn,James Rogers,Monday,08:00,00:00,2018-01-22
Admiral Benbow Inn,Janet Livingston,Wednesday,08:00,00:00,2018-01-01
Admiral Benbow Inn,Janet Livingston,Tuesday,08:00,00:00,2018-01-09
Admiral Benbow Inn,Janet Livingston,Thursday,08:00,00:00,2018-01-11
Admiral Benbow Inn,Janet Livingston,Friday,08:00,00:00,2018-01-12
Admiral Benbow Inn,Janet Livingston,Saturday,08:00,00:00,2018-01-13
Admiral Benbow Inn,Janet Livingston,Sunday,08:00,00:00,2018-01-14
Admiral Benbow Inn,Janet Livingston,Monday,08:00,00:00,2018-01-15
Admiral Benbow Inn,Janet Livingston,Tuesday,08:00,00:00,2018-01-16
Admiral Benbow Inn,Janet Livingston,Wednesday,08:00,00:00,2018-01-17
Admiral Benbow Inn,Janet Livingston,Thursday,08:00,00:00,2018-01-18
Admiral Benbow Inn,Janet Livingston,Friday,08:00,00:00,2018-01-19
Admiral Benbow Inn,Janet Livingston,Saturday,08:00,00:00,2018-01-20
Admiral Benbow Inn,Janet Livingston,Sunday,08:00,00:00,2018-01-21
Admiral Benbow Inn,Janet Livingston,Monday,08:00,00:00,2018-01-22
Admiral Benbow Inn,Jenny Ballantyne,Wednesday,08:00,00:00,2018-01-01
Admiral Benbow Inn,Jenny Ballantyne,Tuesday,08:00,00:00,2018-01-09
Admiral Benbow Inn,Jenny Ballantyne,Thursday,08:00,00:00,2018-01-11
Admiral Benbow Inn,Jenny Ballantyne,Friday,08:00,00:00,2018-01-12
Admiral Benbow Inn,Jenny Ballantyne,Saturday,08:00,00:00,2018-01-13
Admiral Benbow Inn,Jenny Ballantyne,Sunday,08:00,00:00,2018-01-14
Admiral Benbow Inn,Jenny Ballantyne,Monday,08:00,00:00,2018-01-15
Admiral Benbow Inn,Jenny Ballantyne,Tuesday,08:00,00:00,2018-01-16
Admiral Benbow Inn,Jenny Ballantyne,Wednesday,08:00,00:00,2018-01-17
Admiral Benbow Inn,Jenny Ballantyne,Thursday,08:00,00:00,2018-01-18
Admiral Benbow Inn,Jenny Ballantyne,Friday,08:00,00:00,2018-01-19
Admiral Benbow Inn,Jenny Ballantyne,Saturday,08:00,00:00,2018-01-20
Admiral Benbow Inn,Jenny Ballantyne,Sunday,08:00,00:00,2018-01-21
Admiral Benbow Inn,Jenny Ballantyne,Monday,08:00,00:00,2018-01-22
Admiral Benbow Inn,Joe Browning,Wednesday,08:00,00:00,2018-01-01
Admiral Benbow Inn,Joe Browning,Tuesday,08:00,00:00,2018-01-09
Admiral Benbow Inn,Joe Browning,Thursday,08:00,00:00,2018-01-11
Admiral Benbow Inn,Joe Browning,Friday,08:00,00:00,2018-01-12
Admiral Benbow Inn,Joe Browning,Saturday,08:00,00:00,2018-01-13
Admiral Benbow Inn,Joe Browning,Monday,08:00,00:00,2018-01-15
Admiral Benbow Inn,Joe Browning,Tuesday,08:00,00:00,2018-01-16
Admiral Benbow Inn,Joe Browning,Wednesday,08:00,00:00,2018-01-17
Admiral Benbow Inn,Joe Browning,Thursday,08:00,00:00,2018-01-18
Admiral Benbow Inn,Joe Browning,Friday,08:00,00:00,2018-01-19
Admiral Benbow Inn,Joe Browning,Saturday,08:00,00:00,2018-01-20
Admiral Benbow Inn,Joe Browning,Sunday,08:00,00:00,2018-01-21
Admiral Benbow Inn,Joe Browning,Monday,08:00,00:00,2018-01-22
Admiral Benbow Inn,Jorge Whitaker,Tuesday,08:00,00:00,2018-01-09
Admiral Benbow Inn,Jorge Whitaker,Thursday,08:00,00:00,2018-01-11
Admiral Benbow Inn,Jorge Whitaker,Friday,08:00,00:00,2018-01-12
Admiral Benbow Inn,Jorge Whitaker,Saturday,08:00,00:00,2018-01-13
Admiral Benbow Inn,Jorge Whitaker,Sunday,08:00,00:00,2018-01-14
Admiral Benbow Inn,Jorge Whitaker,Monday,08:00,00:00,2018-01-15
Admiral Benbow Inn,Jorge Whitaker,Tuesday,08:00,00:00,2018-01-16
Admiral Benbow Inn,Jorge Whitaker,Wednesday,08:00,00:00,2018-01-17
Admiral Benbow Inn,Jorge Whitaker,Thursday,08:00,00:00,2018-01-18
Admiral Benbow Inn,Jorge Whitaker,Friday,08:00,00:00,2018-01-19
Admiral Benbow Inn,Jorge Whitaker,Saturday,08:00,00:00,2018-01-20
Admiral Benbow Inn,Jorge Whitaker,Sunday,08:00,00:00,2018-01-21
Admiral Benbow Inn,Jorge Whitaker,Monday,08:00,00:00,2018-01-22
Admiral Benbow Inn,Judith Auger,Tuesday,08:00,00:00,2018-01-09
Admiral Benbow Inn,Judith Auger,Thursday,08:00,00:00,2018-01-11
Admiral Benbow Inn,Judith Auger,Friday,08:00,00:00,2018-01-12
Admiral Benbow Inn,Judith Auger,Saturday,08:00,00:00,2018-01-13
Admiral Benbow Inn,Judith Auger,Sunday,08:00,00:00,2018-01-14
Admiral Benbow Inn,Judith Auger,Monday,08:00,00:00,2018-01-15
Admiral Benbow Inn,Judith Auger,Tuesday,08:00,00:00,2018-01-16
Admiral Benbow Inn,Judith Auger,Thursday,08:00,00:00,2018-01-18
Admiral Benbow Inn,Judith Auger,Friday,08:00,00:00,2018-01-19
Admiral Benbow Inn,Judith Auger,Saturday,08:00,00:00,2018-01-20
Admiral Benbow Inn,Judith Auger,Sunday,08:00,00:00,2018-01-21
Admiral Benbow Inn,Judith Auger,Monday,08:00,00:00,2018-01-22
Admiral Benbow Inn,Laura Cranmer,Wednesday,08:00,00:00,2018-01-01
Admiral Benbow Inn,Laura Cranmer,Tuesday,08:00,00:00,2018-01-09
Admiral Benbow Inn,Laura Cranmer,Thursday,08:00,00:00,2018-01-11
Admiral Benbow Inn,Laura Cranmer,Friday,08:00,00:00,2018-01-12
Admiral Benbow Inn,Laura Cranmer,Saturday,08:00,00:00,2018-01-13
Admiral Benbow Inn,Laura Cranmer,Sunday,08:00,00:00,2018-01-14
Admiral Benbow Inn,Laura Cranmer,Monday,08:00,00:00,2018-01-15
Admiral Benbow Inn,Laura Cranmer,Tuesday,08:00,00:00,2018-01-16
Admiral Benbow Inn,Laura Cranmer,Wednesday,08:00,00:00,2018-01-17
Admiral Benbow Inn,Laura Cranmer,Thursday,08:00,00:00,2018-01-18
Admiral Benbow Inn,Laura Cranmer,Friday,08:00,00:00,2018-01-19
Admiral Benbow Inn,Laura Cranmer,Saturday,08:00,00:00,2018-01-20
Admiral Benbow Inn,Laura Cranmer,Sunday,08:00,00:00,2018-01-21
Admiral Benbow Inn,Laura Cranmer,Monday,08:00,00:00,2018-01-22
Admiral Benbow Inn,Lowell Zurawski,Wednesday,08:00,00:00,2018-01-01
Admiral Benbow Inn,Lowell Zurawski,Tuesday,08:00,00:00,2018-01-09
Admiral Benbow Inn,Lowell Zurawski,Thursday,08:00,00:00,2018-01-11
Admiral Benbow Inn,Lowell Zurawski,Friday,08:00,00:00,2018-01-12
Admiral Benbow Inn,Lowell Zurawski,Saturday,08:00,00:00,2018-01-13
Admiral Benbow Inn,Lowell Zurawski,Sunday,08:00,00:00,2018-01-14
Admiral Benbow Inn,Lowell Zurawski,Monday,08:00,00:00,2018-01-15
Admiral Benbow Inn,Lowell Zurawski,Tuesday,08:00,00:00,2018-01-16
Admiral Benbow Inn,Lowell Zurawski,Wednesday,08:00,00:00,2018-01-17
Admiral Benbow Inn,Lowell Zurawski,Thursday,08:00,00:00,2018-01-18
Admiral Benbow Inn,Lowell Zurawski,Friday,08:00,00:00,2018-01-19
Admiral Benbow Inn,Lowell Zurawski,Saturday,08:00,00:00,2018-01-20
Admiral Benbow Inn,Lowell Zurawski,Sunday,08:00,00:00,2018-01-21
Admiral Benbow Inn,Lowell Zurawski,Monday,08:00,00:00,2018-01-22
Admiral Benbow Inn,Mae Mclean,Wednesday,08:00,00:00,2018-01-01
Admiral Benbow Inn,Mae Mclean,Tuesday,08:00,00:00,2018-01-09
Admiral Benbow Inn,Mae Mclean,Thursday,08:00,00:00,2018-01-11
Admiral Benbow Inn,Mae Mclean,Friday,08:00,00:00,2018-01-12
Admiral Benbow Inn,Mae Mclean,Saturday,08:00,00:00,2018-01-13
Admiral Benbow Inn,Mae Mclean,Sunday,08:00,00:00,2018-01-14
Admiral Benbow Inn,Mae Mclean,Monday,08:00,00:00,2018-01-15
Admiral Benbow Inn,Mae Mclean,Tuesday,08:00,00:00,2018-01-16
Admiral Benbow Inn,Mae Mclean,Wednesday,08:00,00:00,2018-01-17
Admiral Benbow Inn,Mae Mclean,Thursday,08:00,00:00,2018-01-18
Admiral Benbow Inn,Mae Mclean,Friday,08:00,00:00,2018-01-19
Admiral Benbow Inn,Mae Mclean,Saturday,08:00,00:00,2018-01-20
Admiral Benbow Inn,Mae Mclean,Sunday,08:00,00:00,2018-01-21
Admiral Benbow Inn,Mae Mclean,Monday,08:00,00:00,2018-01-22
Amused Lemon Parlor,Brittney Rigney,Wednesday,08:00,00:00,2018-01-01
Amused Lemon Parlor,Brittney Rigney,Tuesday,08:00,00:00,2018-01-09
Amused Lemon Parlor,Brittney Rigney,Thursday,08:00,00:00,2018-01-11
Amused Lemon Parlor,Brittney Rigney,Friday,08:00,00:00,2018-01-12
Amused Lemon Parlor,Brittney Rigney,Saturday,08:00,00:00,2018-01-13
Amused Lemon Parlor,Brittney Rigney,Sunday,08:00,00:00,2018-01-14
Amused Lemon Parlor,Brittney Rigney,Monday,08:00,00:00,2018-01-15
Amused Lemon Parlor,Brittney Rigney,Tuesday,08:00,00:00,2018-01-16
Amused Lemon Parlor,Brittney Rigney,Wednesday,08:00,00:00,2018-01-17
Amused Lemon Parlor,Brittney Rigney,Thursday,08:00,00:00,2018-01-18
Amused Lemon Parlor,Brittney Rigney,Friday,08:00,00:00,2018-01-19
Amused Lemon Parlor,Brittney Rigney,Saturday,08:00,00:00,2018-01-20
Amused Lemon Parlor,Brittney Rigney,Sunday,08:00,00:00,2018-01-21
Amused Lemon Parlor,Brittney Rigney,Monday,08:00,00:00,2018-01-22
Amused Lemon Parlor,Brooke Dodge,Wednesday,08:00,00:00,2018-01-01
Amused Lemon Parlor,Brooke Dodge,Tuesday,08:00,00:00,2018-01-09
Amused Lemon Parlor,Brooke Dodge,Thursday,08:00,00:00,2018-01-11
Amused Lemon Parlor,Brooke Dodge,Friday,08:00,00:00,2018-01-12
Amused Lemon Parlor,Brooke Dodge,Saturday,08:00,00:00,2018-01-13
Amused Lemon Parlor,Brooke Dodge,Monday,08:00,00:00,2018-01-15
Amused Lemon Parlor,Brooke Dodge,Tuesday,08:00,00:00,2018-01-16
Amused Lemon Parlor,Brooke Dodge,Wednesday,08:00,00:00,2018-01-17
Amused Lemon Parlor,Brooke Dodge,Thursday,08:00,00:00,2018-01-18
Amused Lemon Parlor,Brooke Dodge,Friday,08:00,00:00,2018-01-19
Amused Lemon Parlor,Brooke Dodge,Saturday,08:00,00:00,2018-01-20
Amused Lemon Parlor,Brooke Dodge,Sunday,08:00,00:00,2018-01-21
Amused Lemon Parlor,Brooke Dodge,Monday,08:00,00:00,2018-01-22
Amused Lemon Parlor,David Rene,Wednesday,08:00,00:00,2018-01-01
Amused Lemon Parlor,David Rene,Tuesday,08:00,00:00,2018-01-09
Amused Lemon Parlor,David Rene,Thursday,08:00,00:00,2018-01-11
Amused Lemon Parlor,David Rene,Friday,08:00,00:00,2018-01-12
Amused Lemon Parlor,David Rene,Saturday,08:00,00:00,2018-01-13
Amused Lemon Parlor,David Rene,Sunday,08:00,00:00,2018-01-14
Amused Lemon Parlor,David Rene,Monday,08:00,00:00,2018-01-15
Amused Lemon Parlor,David Rene,Tuesday,08:00,00:00,2018-01-16
Amused Lemon Parlor,David Rene,Wednesday,08:00,00:00,2018-01-17
Amused Lemon Parlor,David Rene,Thursday,08:00,00:00,2018-01-18
Amused Lemon Parlor,David Rene,Friday,08:00,00:00,2018-01-19
Amused Lemon Parlor,David Rene,Saturday,08:00,00:00,2018-01-20
Amused Lemon Parlor,David Rene,Sunday,08:00,00:00,2018-01-21
Amused Lemon Parlor,David Rene,Monday,08:00,00:00,2018-01-22
Amused Lemon Parlor,Deborah Kinlaw,Wednesday,08:00,00:00,2018-01-01
Amused Lemon Parlor,Deborah Kinlaw,Tuesday,08:00,00:00,2018-01-09
Amused Lemon Parlor,Deborah Kinlaw,Thursday,08:00,00:00,2018-01-11
Amused Lemon Parlor,Deborah Kinlaw,Friday,08:00,00:00,2018-01-12
Amused Lemon Parlor,Deborah Kinlaw,Saturday,08:00,00:00,2018-01-13
Amused Lemon Parlor,Deborah Kinlaw,Sunday,08:00,00:00,2018-01-14
Amused Lemon Parlor,Deborah Kinlaw,Monday,08:00,00:00,2018-01-15
Amused Lemon Parlor,Deborah Kinlaw,Tuesday,08:00,00:00,2018-01-16
Amused Lemon Parlor,Deborah Kinlaw,Wednesday,08:00,00:00,2018-01-17
Amused Lemon Parlor,Deborah Kinlaw,Thursday,08:00,00:00,2018-01-18
Amused Lemon Parlor,Deborah Kinlaw,Friday,08:00,00:00,2018-01-19
Amused Lemon Parlor,Deborah Kinlaw,Saturday,08:00,00:00,2018-01-20
Amused Lemon Parlor,Deborah Kinlaw,Sunday,08:00,00:00,2018-01-21
Amused Lemon Parlor,Deborah Kinlaw,Monday,08:00,00:00,2018-01-22
Amused Lemon Parlor,Denise Green,Wednesday,08:00,00:00,2018-01-01
Amused Lemon Parlor,Denise Green,Tuesday,08:00,00:00,2018-01-09
Amused Lemon Parlor,Denise Green,Thursday,08:00,00:00,2018-01-11
Amused Lemon Parlor,Denise Green,Friday,08:00,00:00,2018-01-12
Amused Lemon Parlor,Denise Green,Saturday,08:00,00:00,2018-01-13
Amused Lemon Parlor,Denise Green,Sunday,08:00,00:00,2018-01-14
Amused Lemon Parlor,Denise Green,Monday,08:00,00:00,2018-01-15
Amused Lemon Parlor,Denise Green,Tuesday,08:00,00:00,2018-01-16
Amused Lemon Parlor,Denise Green,Wednesday,08:00,00:00,2018-01-17
Amused Lemon Parlor,Denise Green,Thursday,08:00,00:00,2018-01-18
Amused Lemon Parlor,Denise Green,Friday,08:00,00:00,2018-01-19
Amused Lemon Parlor,Denise Green,Saturday,08:00,00:00,2018-01-20
Amused Lemon Parlor,Denise Green,Sunday,08:00,00:00,2018-01-21
Amused Lemon Parlor,Denise Green,Monday,08:00,00:00,2018-01-22
Amused Lemon Parlor,Donita Ceasar,Wednesday,08:00,00:00,2018-01-01
Amused Lemon Parlor,Donita Ceasar,Tuesday,08:00,00:00,2018-01-09
Amused Lemon Parlor,Donita Ceasar,Thursday,08:00,00:00,2018-01-11
Amused Lemon Parlor,Donita Ceasar,Friday,08:00,00:00,2018-01-12
Amused Lemon Parlor,Donita Ceasar,Saturday,08:00,00:00,2018-01-13
Amused Lemon Parlor,Donita Ceasar,Sunday,08:00,00:00,2018-01-14
Amused Lemon Parlor,Donita Ceasar,Monday,08:00,00:00,2018-01-15
Amused Lemon Parlor,Donita Ceasar,Tuesday,08:00,00:00,2018-01-16
Amused Lemon Parlor,Donita Ceasar,Wednesday,08:00,00:00,2018-01-17
Amused Lemon Parlor,Donita Ceasar,Thursday,08:00,00:00,2018-01-18
Amused Lemon Parlor,Donita Ceasar,Friday,08:00,00:00,2018-01-19
Amused Lemon Parlor,Donita Ceasar,Saturday,08:00,00:00,2018-01-20
Amused Lemon Parlor,Donita Ceasar,Sunday,08:00,00:00,2018-01-21
Amused Lemon Parlor,Donita Ceasar,Monday,08:00,00:00,2018-01-22
Amused Lemon Parlor,Donna Grissett,Wednesday,08:00,00:00,2018-01-01
Amused Lemon Parlor,Donna Grissett,Tuesday,08:00,00:00,2018-01-09
Amused Lemon Parlor,Donna Grissett,Thursday,08:00,00:00,2018-01-11
Amused Lemon Parlor,Donna Grissett,Friday,08:00,00:00,2018-01-12
Amused Lemon Parlor,Donna Grissett,Saturday,08:00,00:00,2018-01-13
